question,answers
Who is the Chair of the NCCN Guidelines Panel for Prostate Cancer?,"Daniel E. Spratt, MD/Chair § Case Comprehensive Cancer Center/University Hospitals Seidman Cancer Center and Cleveland Clinic Taussig Cancer Institute"
What is the date of the NCCN Guidelines Version 2.2025 for Prostate Cancer?,"Version 2.2025, 04/16/25 © 2025 National Comprehensive Cancer Network® (NCCN®)"
What is a new treatment option added in the NCCN Guidelines Version 2.2025 for prostate cancer patients with PSMA-positive metastases?,"PROS-16 • Progression on prior hormone therapy/no prior docetaxel, useful in certain circumstances, regimen added: Lutetium Lu 177 vipivotide tetraxetan (Lu-177–PSMA-617) for PSMA-positive metastases."
What is the recommended treatment for patients with prostate cancer and life expectancy ≤ 5 years whose cancer progressed on observation of localized disease?,Treatment of patients with life expectancy ≤ 5 y whose cancer progressed on observation of localized disease is ADT.
What changes were made to the category of evidence and consensus designation for abiraterone and darolutamide in the NCCN Guidelines Version 1.2025?,Category of evidence and consensus designation for abiraterone changed from category 1 to category 2B. Category of evidence and consensus designation for darolutamide changed from category 1 to category 2B.
What are the considerations for using niraparib plus abiraterone in patients with mCRPC and a BRCA mutation?,"Niraparib plus abiraterone (combination tablet) is a treatment option for patients with mCRPC and a pathogenic BRCA1 or BRCA2 mutation (germline and/or somatic) who have not yet had treatment in the setting of mCRPC, depending on prior treatment in other disease settings (PROS-16). Use of niraparib/abiraterone for those who have received prior novel hormone therapy is controversial because a benefit of this combination over use of a PARP inhibitor alone has not been shown in this setting, but responses are likely. The fine-particle (category 2B; other recommended option) or standard formulation of abiraterone can be given with single-agent niraparib as a substitute for the combination niraparib/abiraterone tablet (category 2B; other recommended option)."
What is the recommendation for germline testing in patients with prostate cancer according to the NCCN Guidelines Version 2.2025?,"Germline testing is also recommended for patients with metastatic, regional (node positive), very-high-risk localized, or high-risk localized prostate-cancer."
What are the criteria for classifying prostate cancer as 'very low risk' according to the NCCN Guidelines Version 2.2025?,"Very lowh
Has all of the following:
• cT1c
• Grade Group 1
• PSA <10 ng/mL
• <3 prostate biopsy fragments/cores positive, ≤50% cancer in each fragment/corei
• PSA density <0.15 ng/mL/g
• Confirmatory testing can be used to assess the appropriateness of active surveillance (PROS-F 2 of 5)"
"What should be done for asymptomatic patients in very-low-, low-, and intermediate-risk groups with life expectancy of 5 years or less?","For patients who are asymptomatic in very-low-, low-, and intermediate-risk groups with life expectancy ≤5 years, no imaging or treatment is indicated until the patient becomes symptomatic, at which time imaging can be performed [Principles of Imaging (PROS-E)] and androgen deprivation therapy (ADT) should be given [Principles of Androgen Deprivation Therapy (PROS-G)]."
What is the recommendation for using the fine-particle formulation of abiraterone?,The fine-particle formulation of abiraterone can be used instead of the standard form (category 2B; other recommended option).
What are the monitoring guidelines for prostate cancer patients with initial definitive therapy?,"• PSA every 6–12 mo for 5 y,ee then every year • Consider DRE if suspicion of recurrence • Physical examination + PSA every 3–6 mo • Imaging for symptoms or increasing PSAf"
What is the standard definition for PSA recurrence after EBRT according to the RTOG-ASTRO Phoenix Consensus?,PSA increase by ≥2 ng/mL above the nadir PSA is the standard definition for PSA recurrence after EBRT with or without hormone therapy.
What are the preferred regimens for high-volume synchronous or metachronous metastases in M1 CSPC according to the NCCN Guidelines Version 2.2025?,"ADTz with docetaxel and one of the following:
• Preferred regimens:
Abiraterone (category 1)z,aa
Darolutamide (category 1)z"
What tools are recommended by the NCCN Guidelines for estimating life expectancy in prostate cancer patients?,"• Life expectancy can be estimated using:
The Social Security Administration tables (www.ssa.gov/OACT/STATS/table4c6.html)
The WHO’s Life Tables by country (http://apps.who.int/gho/data/view.main.60000?lang=en)
The Memorial Sloan Kettering Male Life Expectancy tool (https://www.mskcc.org/nomograms/prostate)
University of California San Francisco (UCSF) Lee Schonberg Index (https://eprognosis.ucsf.edu/leeschonberg.php)"
What is recommended to prevent rebound bone loss after stopping denosumab therapy?,it is recommended to administer at least one dose of a potent bisphosphonate (zoledronic acid 4 or 5 mg) to prevent rebound bone loss
